Organisatie,Naam,Haakje,Bron-URL,Bron-type,Trap,Gevonden
AOG TSM Business School,Janneke Deterink,"Interview op tsm.nl: ""Mensen zien groeien en organisaties verder helpen is heel dankbaar werk"", noemt TSM ""een business school op sneakers"" - https://tsm.nl/nieuwe-directeur-janneke/",,webresearch,1,Ja
Academica University of Applied Sciences,Marjolein Looij,"Actief op LinkedIn over onderwijs: post over de schoolleidersopleiding met #samenhetonderwijsverbeteren, en over de opening van het academisch jaar in het Concertgebouw.",,webresearch,1,Ja
Amsterdam School of Real Estate,Jantine Schrader-van Meel,"Interview op asre.nl: ""Als programmamanager ben ik eindverantwoordelijk voor de inhoud van alle programma's"" en ""We willen studenten steeds meer digitale ondersteuning bieden, bijvoorbeeld met webcasts"" - https://asre.nl/ik-weet-wat-het-is-studeren-naast-een-drukke-baan/",,webresearch,1,Ja
Amsterdam School of Real Estate,Nynke Wagenaar,"LinkedIn-post over de studiereis Londen met studenten Vastgoedbeleggen, waarin zij de Instagram-takeover deed.",,webresearch,1,Ja
Capabel Hogeschool,Karien van Dijk,Deed 2018-2019 de Master Leren en Innoveren bij Fontys. Bruikbaar als opening over onderwijsinnovatie.,,webresearch,1,Ja
Hogeschool Tio,Joost Schipper,"Publiek actief als politicus in Elburg, lijsttrekker van Samen Vooruit. Onderwijsinhoudelijk haakje niet gevonden.",,webresearch,1,Ja
Intop Zorgsector,Jeroen van Dam,LinkedIn-post waarin hij een medisch technicus feliciteert met het afronden van de IntopA-opleiding: https://nl.linkedin.com/posts/jeroenvdam_medischtechnicus-intopa-activity-6957290867971735552-0f3_,,webresearch,1,Ja
Kader Academy,Anneloes Oude Voshaar,"Staat met naam en verhaal in het eigen artikel over hoe de onderwijskundigen de opleidingen naar een hoger niveau tillen, en werkte mee aan een stuk over digitaal lesgeven.",,webresearch,1,Ja
LOI (Leidse Onderwijsinstellingen),Arthur Ravensbergen,"Verzorgde bij de NVAO-visitatie van hbo-bachelor Management (NTI, 2018) zelf de presentatie over leeromgeving en mentoraat: https://docplayer.nl/139441757-Hbo-bachelor-management-stichting-nti-hogeschool-25-juni-2018-nvao-uitgebreide-toets-nieuwe-opleiding.html",,webresearch,1,Ja
NIBE-SVV Opleidingen,Lilian van der Vliet,"Interview onder de kop ""Kijk kritisch, ook naar jezelf"" als OR-lid: https://www.recht.nl/vakliteratuur/milieurecht/artikel/253646/",,webresearch,1,Ja
Nederlandse Academie voor Beeldcreatie,Marcel van der Linden,Hij schrijft zelf op zijn site over zijn overstap naar het voorzitterschap van de examencommissie en over zijn werk in de curriculumcommissie aan kwaliteitsverbetering van het onderwijs.,,webresearch,1,Ja
Nederlandse Academie voor Beeldcreatie,Brendan van den Beuken,"Eigen citaat bij aanstelling: ""Mijn streven is dat de opleiding een voorloper in de markt wordt met kwalitatief hoogwaardig en eigentijds onderwijs"" en ""Fotografie en bewegend beeld worden steeds belangrijker en we zien dat er ook op technologisch vlak veel nieuwe ontwikkelingen zijn""",,webresearch,1,Ja
PHOV,Juliette Wildenburg,"LinkedIn-post over haar training sociale en psychologische veiligheid, eindigend met ""Wat betekent psychologische veiligheid voor jou?"" - https://nl.linkedin.com/posts/juliette-wildenburg-89a5b295_phov-giftiggedoeopdewerkplek-degelekanarie-activity-7298004344178704386-QKFf",,webresearch,1,Ja
