Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Academica University of Applied Sciences,Ja,"NVAO-adviesrapport M Excellent Teaching: ""De thesis wordt door twee examinatoren beoordeeld aan de hand van een rubric."" — https://publicaties.nvao.net/prd/AV-2633_20250310_Rapport_Adviesrapport%20M%20Excellent%20Teaching%20Academica%20AV-2633.pdf",Onbekend,"Privaat hbo volgens NVAO-rapport, bekostigingsstatus nog te bevestigen",Academica Group,"Privaat hbo, bachelor en master voor werkende professionals (o.a. leraren), deeltijd"
Academie Artemis,Ja,"NVAO-beoordelingsrapport Allround Styling: ""Ieder onderzoek wordt door de begeleider en een tegenlezer gelezen en summatief beoordeeld."" — https://publicaties.nvao.net/prd/AV-1034_20230217_Rapport_Beoordelingsrapport%20Artemis%20Allround%20Styling%20v2.0.pdf",Ja,Particuliere niet-bekostigde hogeschool volgens NVAO-rapport (zelfde bron),Zelfstandig,"Particulier hbo kunstvakonderwijs (Allround Styling, Creative Concept Developer), voltijd, Amsterdam"
Academie Hypnos,Ja,"Jaar 3 kent ""schriftelijk examen, een praktijkexamen en een afstudeeropdracht op hbo-niveau""; regels staan in het eigen Onderwijs Examen Reglement — https://hypnos.nl/de-opleiding-praktisch/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vierjarige hbo-opleiding hypnotherapie, eigen OER en afstudeeropdracht"
Actuarieel Instituut,Ja,"OER 2025-2026 art. 15 lid 1: ""Het AI is verantwoordelijk voor de organisatie, coordinatie en beoordeling van de tentamens."" — https://www.actuarieelinstituut.nl/download-bewerken/onderwijs-en-examenregeling-2025-2026 | Aanvullend: ""Master's thesis is mandatory"" — https://www.actuarieelinstituut.nl/opleidingsaanbod/executive-master-of-actuarial-science | NVAO EMAS-rapport: ""Beide examinatoren vullen onafhankelijk van elkaar het beoordelingsformulier in en komen uiteindelijk tot een gemiddeld cijfer."" — https://publicaties.nvao.net/prd/AV-2582_20240712_Rapport_RAPPORT%20EMAS%20-%20Actuarieel%20Instituut%20-%20DEF2.pdf",Ja,"Stichting, deeltijd beroepsopleidingen, EMAS kost EUR 30.450, geen bekostigde universiteit — https://www.actuarieelinstituut.nl/over-het-actuarieel-instituut",Stichting Actuarieel Instituut,"Postacademisch actuarieel vakonderwijs (EMAS/AM&RM/ANN), deeltijd, voor financiele/verzekerings- en pensioenprofessionals"
Amsterdam School of Real Estate (ASRE),Ja,"OER 2025-2026 art. 5 lid 2: ""Het resultaat van elke toets (...) wordt beoordeeld door de examinator. De examinatoren zijn bevoegd een beoordeling te geven."" — https://asre.nl/wp-content/uploads/2025/09/OER-2025-2026.pdf",Onbekend,Nog te checken,Nog te checken,"Postinitieel wetenschappelijk vastgoedonderwijs (wo-master MRE/MSRE), deeltijd"
AN-i,Ja,"""Indien je een schriftelijke module of examen niet mocht halen, dan krijg je twee mogelijkheden tot herkansing""; opzet is 8 modules plus examen en diploma — https://www.an-i.nl/opleiding-arbeidsrecht/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Arbeidsrecht-opleider met eigen modules, examen en diploma"
AOG TSM Business School,Ja,"NVAO-visitatierapport MBA Innovation & Leadership: ""Examinatoren zijn voldoende geschoold om toetsen te ontwikkelen en het werk van deelnemers te beoordelen."" — https://publicaties.nvao.net/prd/AV-2976_20250320_Rapport_Definitief%20rapport%20visitatie%20MBA%20Innovation%20_%20Leadership_Aequi%20(ISAT%2070214).pdf",Onbekend,"B.V., postacademisch, nog te bevestigen",AOG TSM Business School B.V.,"Postacademisch bedrijfskundig managementonderwijs (MBA) voor werkende professionals, deeltijd"
Bedrijfskunde Opleiding Utrecht,Ja,"""bij je eindbeoordeling een gewogen gemiddelde score van alle opdrachten hebt van hoger dan of gelijk aan 7,5"" — https://bedrijfskundeopleidingutrecht.nl/praktische-informatie/afstuderen-met-eervolle-vermelding/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo bedrijfskunde en projectmanagement voor professionals
BeeldCentrum,Ja,"""Bij het met goed gevolg afronden van het afstudeerproject ontvang je het diploma van de Opleiding tot Vakfotograaf"" — https://beeldcentrum.nl/afstudeerproject/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere fotografie-vakopleiding met eigen afstudeerproject en diploma
Bestuursacademie Nederland,Ja,"""Binnen 4 weken na de examendatum of geplande inleverdatum van de opdracht is het cijfer met het beoordelingsformulier zichtbaar op e-Connect."" — https://www.bestuursacademie.nl/veelgestelde-vragen/examens-en-afronding.html",Ja,Niet-bekostigde opleider binnen de NCOI-opleidingsgroep,Salta Group / NCOI,"Opleider openbaar bestuur, bestuurskunde en bestuursrecht voor overheidsprofessionals"
Breederode Hogeschool,Ja,"NVAO-rapport Master Manuele Therapie: ""Bij al deze toetsen wordt het vier-ogenprincipe ingezet: de beoordeling wordt uitgevoerd door twee beoordelaars."" — https://publicaties.nvao.net/prd/AV-2238_20240304_Rapport_Breederode%20MMT%20def.pdf",Ja,"Particuliere hogeschool, deeltijdmaster voor werkende fysiotherapeuten (zelfde NVAO-bron)",Zelfstandig,"Particulier hbo, deeltijdmaster Manuele Therapie (90 EC) voor werkende fysiotherapeuten, Rotterdam"
BTSG,Ja,"""Het examengesprek wordt op een afgesproken moment ingepland en digitaal afgenomen door twee examinatoren van BTSG"" — https://btsg.nl/veelgestelde-vragen/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,CZO-erkende zorgopleider ouderenzorg en dementie; twee eigen examinatoren
Bureau STERK,Ja,"""Bureau STERK neemt de instellingsexamens af: voor de talen zijn dat drie onderdelen: Spreken, Gesprekken en Schrijven."" — https://bureausterk.nl/toetsen",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,EVC-bureau met eigen assessoren en instellingsexamens
Capabel Onderwijs / Capabel Hogeschool,Ja,"""Wat betreft de beoordeling van afstudeerwerken stelt het auditpanel vast dat de beoordeling gebeurt door twee examinatoren/beoordelaars."" — https://publicaties.nvao.net/prd/AV-2822_20250306_Rapport_241007%20Rapport%20Capabel%20B%20HBO-R%20en%20M%20SZ.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (55 opleidingen),Zelfstandig (Calder Holding genoemd maar niet bevestigd),Privaat mbo en hbo; sinds februari 2025 ook de opleidingen van ITV Hogeschool voor Tolken en Vertalen
Edufit,Ja,Eigen MC-toets BKE plus een verbeterplan dat door de eigen trainer wordt beoordeeld — https://edufit.nl/training-toetsen-van-leeruitkomsten-basiskwalificatie-examinering/,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Docentprofessionalisering hbo (BDB/BKE); klanten zijn hogescholen, dus ook een kanaal"
Esoterra,Ja,"""Examen met eindopdracht"" — https://www.esoterra.nl/product/opleiding-massagetherapeut-3-jaar/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Complementaire zorg-opleidingen met eigen eindexamen
Global School for Entrepreneurship,Ja,"""The final assignment takes place according to the four-eyes principle, by the student's mentor and an independent examiner."" — https://publicaties.nvao.net/prd/AV-1050_20221006_Rapport_Panel%20report%20HBO-ba%20Business%20Psychology,%20Global%20School%20for%20Entrepreneurship%20(AV-1050).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (8 opleidingen),Zelfstandig,"Engelstalige bachelors ondernemerschap en business psychology, internationale instroom"
GOmotive,Ja,"""Je theorie- en praktijkopdrachten, documentatie, resultaten (...) staan overzichtelijk in je eigen account""; rijkserkend mbo-diploma op alle niveaus — https://gomotive.nl/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Crebo-erkende particuliere mbo-opleider bedrijfsautotechniek
Grotius Academie,Ja,"""een deelnemer heeft een gecorrigeerd gemiddelde huiswerkcijfer van minimaal een 6.0"" (https://www.grotiusacademie.nl/veelgestelde-vragen/) en ""alle huiswerkopdrachten op tijd te hebben ingeleverd"" (https://www.grotiusacademie.nl/over-grotius/)",Ja,"Kantoren en deelnemers betalen, kosten per opleiding vermeld — zelfde FAQ",Zelfstandig,Postacademische juridische specialisatieopleidingen (9 maanden) voor juristen met minimaal 3 jaar ervaring
Habeo+ Hogeschool (voorheen Avans+),Ja,"""De afstudeerproducten worden door twee examinatoren beoordeeld."" — https://publicaties.nvao.net/prd/AV-1436_20230414_Rapport_Avans%20Rapport%20M%20Pipeline%20Technology.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (45 opleidingen),Zelfstandig,"Post-hbo en masters voor professionals: techniek, zorg, management"
hbo A&A (Hogeschool voor de Accountancy),Ja,"""De toetsing van de onderdelen betreffen hogeschooltentamens"" — https://www.hboaa.nl/opleidingen/bedrijfsadministratie-en-accountancy",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particuliere hogeschool accountancy en bedrijfsadministratie, eigen tentamens"
Hogeschool Markus Verbeek Praehep,Ja,"""Bij de beoordeling van de eindwerken van de Bachelor hanteert de opleiding het vierogenprincipe."" — https://publicaties.nvao.net/prd/AV-2797_20250129_Rapport_240926%20Beoordelingsrapport%20Ad%20_%20B%20Accountancy%20MVP.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (283 opleidingen),Salta Group / NCOI,Grootste particuliere deeltijd-hogeschool na NCOI; finance en accountancy voor werkenden
Hogeschool Tio,Ja,"""Klachten die betrekking hebben op de examinering richt je aan de examencommissie"" — https://www.tio.nl/contact/klachtenprocedure/",Ja,Niet-bekostigd in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho,Zelfstandig,"Particuliere hbo-hogeschool business en hospitality, 90 geaccrediteerde opleidingen"
IBHS,Ja,"OER art. definitie Examinator: ""Degene die conform artikel 7.12c WHW belast is met het ontwikkelen en/of afnemen en/of beoordelen van tentamens en is benoemd door de examencommissie"" — https://www.ibhs.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zit vast aan SDO Hogeschool,"Particuliere hbo business school Amsterdam; voert de OER van SDO, dus een gesprek kan beide dekken"
Inholland Academy (Contractgroep Inholland),Ja,"""een certificaat of (post-hbo) diploma van Inholland Academy"", met eigen examencommissie — https://www.inholland.nl/academy/over-inholland-academy/certificering-en-kwaliteit/",Deels,Private tak van een publiek bekostigde hogeschool; inkoop kan langs de moeder lopen,Hogeschool Inholland (bekostigd),"Commerciele tak van bekostigde hogeschool Inholland; geen koude outreach, Inholland staat al in Close"
Intop Zorgsector,Ja,"Eigen examencommissie Medische Technologie: ""het voorbereiden, uitvoeren en beoordelen van de examens"" — https://intop.nl/informatie/examencommissie/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Opleider medische technologie in de zorg, eigen examencommissie"
Islamic University of Applied Sciences Rotterdam,Ja,"""Vervolgens dient elk hoofdstuk zowel door de scriptiebegeleider als de leescommissie beoordeeld en goedgekeurd te worden."" — https://publicaties.nvao.net/ACCR_010714_30GW-70131_Rapport_2022.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (2 opleidingen),Zelfstandig,Kleine hogeschool islamitische theologie en geestelijke verzorging
Kader Academy,Ja,"""Iedere module wordt afgerond met een kennistoets of een opdracht."" en ""De opleiding wordt afgerond met een begeleid scriptietraject."" — https://kader-academy.nl/veiligheid/hvk-opleiding-hogere-veiligheidskunde",Ja,Investering EUR 18.995 excl. btw — zelfde pagina,Zelfstandig,Particuliere opleider veiligheidskunde (MVK/HVK) voor werkende veiligheidskundigen
