Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
Leidse Onderwijsinstellingen B.V. (LOI),www.loi.nl,LEIDEN,Dellaertweg 5G,2316WZ,2020-09-30,,,,ok,41,41,0,+afstudeeropdracht +eindopdracht +praktijkopdracht +beroepsproduct +beoordeeld door (?:de |je  +portfolio +studiepunten +hbo-?bachelor|hbo-?master +nvao +toetsing +beoordeling +diploma
Habeo+ (vh Avans+),https://habeoplus.nl/,BREDA,Claudius Prinsenlaan 140,4818 CP,2009-02-01,,,,ok,32,32,0,+praktijkopdracht +beroepsproduct +examinator +portfolio +examencommissie +post-?hbo +nvao +beoordeling +studiebelasting +diploma
Instituut Scire B.V.,https://habeoplus.nl/,BREDA,Claudius Prinsenlaan 140,4818 CP,2026-06-02,,,,ok,32,32,0,+praktijkopdracht +beroepsproduct +examinator +portfolio +examencommissie +post-?hbo +nvao +beoordeling +studiebelasting +diploma
Academie Hypnos,https://hypnos.nl/,Voorthuizen,Hoofdstraat 185,3781 AE,2022-05-17,,,,ok,27,27,0,+afstudeeropdracht +praktijkopdracht +examencommissie +\boer\b +studiepunten +cpion +toetsing +studiebelasting +diploma
Variva Edu Academy,www.variva.nl,Someren,Witvrouwenbergweg 12,5711 CN,2017-09-15,,,,ok,25,25,0,+praktijkopdracht +examinator +portfolio +examencommissie +toetsing +studiebelasting +diploma +modules? (?:wordt|worden) 
Stichting De Nederlandse School voor Onderwijsmanagement,https://www.nso-cna.nl,Diemen,Diemermere 15,1112 TB,2025-04-15,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,23,28,5,+\bscriptie\b +afstudeeropdracht +praktijkopdracht +examencommissie +nvao +studiebelasting +diploma +meerdaagse leergang|leerga -certificaat van deelname|b
Zorgcampus Rotterdam B.V.,www.zorgcampus.nl,ROTTERDAM,Mathenesserlaan 480,3023 HL,2018-09-25,,,,ok,23,23,0,+praktijkopdracht +examinator +examencommissie +toetsing +beoordeling +herkansing +diploma
Academie voor Podologie,www.academiepodologie.nl,UTRECHT,St. Laurensdreef 22,3565 AK,2017-01-01,,,,ok,22,22,0,+\bscriptie\b +onderwijs- en examenregeli +\boer\b +beoordeling +leeruitkomsten +studiebelasting +diploma
Mooivakonderwijs B.V.,www.mooivakonderwijs.nl,Helmond,Inclusieveld 1,5707 DP,2022-06-22,,,,ok,22,27,5,+eindopdracht +praktijkopdracht +portfolio +examencommissie +cpion +crkbo +toetsing +beoordeling +studiebelasting +diploma -certificaat van deelname|b
PHOV B.V.,www.phov.nl,Utrecht ,Weerdsingel WZ 32,3513 BC,2022-03-08,,,,ok,22,22,0,+\bscriptie\b +eindopdracht +praktijkopdracht +toetsing +studiebelasting +diploma +meerdaagse leergang|leerga
