rang,naam,lerenden_diploma,lerenden_per_jaar,omvang_niveau,omvang_url,lerenden_diploma_bron,omvang_citaat
1,Nederlandse Orde van Belastingadviseurs (NOB) Beroepsopleiding,1502,6271,hard,https://www.nob.net/jaarverslag-2025/stichting-opleiding-belastingadviseurs-2025/beroepsopleiding-belastingadviseurs-2025/,https://www.nob.net/jaarverslag-2025/stichting-opleiding-belastingadviseurs-2025/beroepsopleiding-belastingadviseurs-2025/,"""Op 1 januari 2025 bedroeg het aantal 1416, per einde van het verslagjaar 1502."" / ""De opleiding is in 2025 door 337 (2024: 336) cursisten afgerond."" / ""In totaal waren er 6271 (2025: 6191) deelnemers."" LET OP: de 6271 zijn cursusdeelnames over 325 cursussen, dus dubbeltellingen; 1502 aspirant-leden"
2,TIAS School for Business and Society,969,,hard,https://www.aacsb.edu/accredited/t/tias-school-for-business-and-society,https://www.aacsb.edu/accredited/t/tias-school-for-business-and-society,"TIAS publiceert zelf geen deelnemersaantal: over-tias, /en/about-tias en de homepage geven alleen ""26.000 Alumni"", ""Netwerk van meer dan 20.000 contacten in 75 landen"" en ""100+ Opleidingen"", geen jaarcijfer. Het AACSB-accreditatieprofiel noemt 969 enrolled students; dat cijfer levert TIAS zelf aan b"
3,KOB,600,600,afgeleid,https://www.kob.nl/over-kob/,https://www.kob.nl/?nieuws=vakdiploma-aannemer-uitgereikt-aan-geslaagden,"Geen cursistenaantal gepubliceerd; hard vertrekpunt is het aantal gediplomeerden. Eigen nieuwsbericht: ""In de afgelopen weken is aan ca. 200 geslaagden het Vakdiploma Aannemer van de KOB uitgereikt op diverse plaatsen in het land."" Rekensom: ca. 200 gediplomeerden per jaar x 3 jaar nominale duur (br"
4,Stichting Academie voor Ambulancezorg,561,2021,hard,https://www.academievoorambulancezorg.nl/,https://www.academievoorambulancezorg.nl/,"Eigen site, kerncijfers 2024: ""561 Professionals in opleiding (2024)"" en ""1460 Deelnemers trainingen (2024)"". 561 = initiele diplomagerichte opleidingen, 1460 = korte bijscholing/trainingen. Totaal 561+1460=2021."
5,Grotius Academie,553,553,hard,https://www.mr-online.nl/mr-feliciteert-grotius-40-jaar/,https://www.mr-online.nl/mr-feliciteert-grotius-40-jaar/,"Opleidingsmanager Emile Jansen over 2025: 'wij bieden 24 specialisatieopleidingen aan met 553 deelnemers, en verzorgen meer dan 350 docenten ons onderwijsaanbod'. Alle 24 zijn postacademische specialisatieopleidingen van circa 9 maanden, dus volledig diplomagericht; diploma-aantal valt samen met het"
6,Instituut Broers BV,350,350,afgeleid,https://broersmbocollege.nl/over-ons/,https://broersmbocollege.nl/over-ons/,"""197 - Aantal diplomas en certificaten uitgereikt in 2025"" (teller op de eigen over-ons-pagina; WebFetch leest die als 0, het getal staat als data-value in de HTML). Afleiding: 197 diplomas/certificaten per jaar x ~2 jaar opleidingsduur = ~394 gelijktijdig ingeschreven, conservatief ~300-400 want lo"
7,AOG School of Management,342,342,afgeleid,https://www.aog.nl/,https://www.aog.nl/,"'Een netwerk van > 13.000 alumni' en 'Sinds 1988' (homepage aog.nl). Rekensom: 13.000 alumni over 38 jaar = circa 342 gediplomeerden per jaar. Het hele aanbod is diplomagericht (leergangen van 9 maanden a 15 EC, MSc Strategy and Leadership, MBA), dus diploma-aantal valt samen met het totaal."
8,Medivus opleidingen BV,300,300,hard,https://www.medivus.nl/,https://www.medivus.nl/,"""300+ Studenten per jaar"" (teller op de eigen homepage, naast ""23 Programma's"" en ""330+ Zakelijke partners""). Aanbod is vrijwel volledig erkend mbo-diplomatraject (HZW, Verzorgende IG, MBO-Verpleegkunde, Kraamverzorgende). Niet-geverifieerd signaal elders: ""ruim 1000 studenten""."
9,Webster University,300,300,geschat,https://www.educations.com/institutions/webster-leiden-campus,https://www.educations.com/institutions/webster-leiden-campus,"""Currently, home to 300 students representing 60-plus nationalities with an alumni network of nearly 2,000 students."" Gaat om de NEDERLANDSE campus (Webster Leiden). Staat NIET op een Webster-eigen pagina: webster.nl noemt alleen ""More than 40 years in The Netherlands"". Alle Leidse programma's zijn "
10,Laurentius College B.V.,220,220,afgeleid,https://www.laurentiuscollege.nl/,https://www.laurentiuscollege.nl/,"""Al 18 jaar zijn wij marktleider op het gebied van luchtvaart & hospitality opleidingen en hebben we al vele duizenden studenten opgeleid richting een baan."" Rekensom: 3.000-5.000 in 18 jaar = 165-280 per jaar, midden 220. Hele aanbod is diplomagericht (vakopleiding 3-5 mnd, mbo 1,5-2 jaar, hbo Asso"
