Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Salta Group,Ja,"Eindopdrachten ""worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" — https://www.ncoi.nl/vragen/examens-en-afronding.html",Ja,"Commerciele opleidingsgroep, betalende deelnemers, geen rijksbekostiging","Salta Group, moeder van 20+ merken; ingangen NIBE-SVV en SRM","[AL IN CLOSE - Actief, niet koud benaderen] Private opleidingsgroep"
Lindenhaeghe,Nee,"Marktleider verplichte Wft-permanente educatie; Lindenhaeghe Examens B.V. is exameninstituut, Wft-examens zijn centrale examens (CDFD/DUO), niet zelf beoordeeld. Nakijkvolume zit bij de zusterlabels (WWZ Academie, NCI, LearnCare) — https://www.nrto.nl/leden/lindenhaeghe-groep-bv/",Ja,NRTO-lid,Certify360 EdTech Group (Capital A),"Wft en PE financiele dienstverlening; als account afgevallen, als moeder-ingang wel relevant"
Babel Taalcursussen,Ja,"""De toets wordt nagekeken door een van onze taaltrainers"" bij de niveautoets, en Babel geeft een eigen certificaat dat de vier vaardigheden op het gewenste taalniveau bevestigt, officieel erkend door het CIBG — https://babel.nl/toetsing-en-certificering",Ja,"Privaat talencentrum, cursisten betalen — https://www.babel.nl/over-babel/","Babel B.V. (KvK 57830975); moeder mogelijk Sinear B.V., niet bevestigd","[AL IN CLOSE - Prospect, niet koud benaderen] Privaat talencentrum, official language partner Universiteit Utrecht"
NOVI Hogeschool,Ja,"NVAO-rapport: ""ongeveer 25% schriftelijke theorietoetsen en 75% de praktijkopdrachten"", met vier-ogen principe — https://publicaties.nvao.net/ACCR_009686_24HR-34035_Rapport_2021.pdf",Ja,"Hbo-ICT kost EUR 30.000 totaal, aangewezen instelling zonder bekostiging — https://www.novi.nl/hbo-ict/",Stichting Hoger Onderwijs NOVI / Hogeschool NOVI B.V.,"Privaat hbo (IT), aangewezen instelling (rpho)"
VAPRO,Ja,"Open examenvragen worden door twee onafhankelijke correctoren nagekeken, plus cases en scripties met dubbele beoordeling — https://www.exameninstrumentenmbo.nl/examenleveranciers/vapro",Onbekend,Nog te checken,dyo people solutions (voorheen Arnold Participaties),"Exameninstelling en bedrijfsopleider procestechniek, VAPRO B.V. KvK 27145441"
ICM Opleidingen en Trainingen,Ja,"""Tijdens de opleiding maakt u een praktijkopdracht. Indien u de opdracht met een positief resultaat afsluit, ontvangt u het officiele ICM Verandermanagement - diploma."" en bij andere opleidingen ""Tijdens iedere module schrijft u een praktijkopdracht."" Herkansing tegen gereduceerd tarief — https://www.icm.nl/over-icm/kwaliteit/",Onbekend,Nog te checken,Zelfstandig,"[AL IN CLOSE - Actief, niet koud benaderen] Private opleider/trainer"
Beeckestijn Business School,Ja,"""U krijgt hierin coaching en begeleiding van docenten en sluit de opleiding af met een eindgesprek waarin u uw plan toelicht."" plus ""U wordt, bij het behalen van een 7 of hoger voor uw eindopdracht, opgenomen in het DIM-register als digital marketing professional."" — https://www.beeckestijn.org/post-hbo-opleidingen/",Onbekend,Nog te checken,"Zelfstandig (Beeckestijn Business School B.V., KvK 09164553)","Post-hbo en executive: digital, marketing, CX, AI, data, leiderschap"
IVA Driebergen / IVA Business School,Ja,"""De IVA past bij alle opleidingen een helder systeem van toetsen, tentamens en examens toe. Het voordeel daarvan is dat studenten, docenten en ouders steeds een goed zicht op de studievorderingen hebben."" — https://www.iva-driebergen.nl/ ; NVAO-geaccrediteerde Hogere Managementopleiding voor de Mobiliteitsbranche (https://publicaties.nvao.net/ACCR_008543_27WU-34935_Hogere_Managementopleiding_voor_de_Mobiliteitsbranche_Rapport_2019.pdf)",Ja,"Privaat mbo en hbo, overgenomen door AcadeMedia (Zweden)",AcadeMedia (Zweden),Privaat mbo en hbo automotive/nautisch/transport
Webster University (Leiden),Ja,"Academic Policies Webster University (geldt voor de campus Leiden): ""a thesis committee consisting of three employed faculty members must be established, with a supervisor, reader, and second reader present at the defense. Both the supervisor and reader provide written assessments of the work to the departments prior to scheduling a defense."" — https://www.webster.edu/catalog/current/graduate-catalog/academic-policies.html",Onbekend,Nog te checken,Webster University (VS),Privaat Amerikaans model
EuroCollege Hogeschool,Ja,"NVAO-rapport hbo-ba International Hotel and Hospitality Management: ""De beoordeling vindt plaats door de begeleider en een tweede beoordelaar, die onafhankelijk van elkaar tot een oordeel komen."" en ""Als de marge tussen de twee beoordelaars meer is dan 0,5, wijst de examencommissie een derde (externe) beoordelaar aan."" — https://publicaties.nvao.net/5c9b4ff5ab502_007584%20rapport%20EuroCollege%20hbo-ba%20International%20Hotel%20and%20Hospitality%20Management.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Zelfstandig (EuroCollege Beheer B.V.),Privaat hbo en mbo
