Tier,Aanbieder,Moeder / groep,Categorie,Indicatie schaal,Fit,In pipeline,ACV laag (EUR/jr),ACV hoog (EUR/jr),Midpunt (EUR/jr),Betaalt nu al voor nakijken,Waar dat te checken is,Toelichting
1,Salta Group (koepeldeal),Salta Group,Koepel private opleiders,"circa 250 mln omzet, 20+ merken",Hoog,Nee,150000,400000,275000,Onbekend,Jaarverslag Salta + vacatures 'docent/beoordelaar' bij de merken: staat nakijken als apart uurtarief?,"Grootste private opleider Benelux. Een koepeldeal raakt NCOI, LOI, NTI, Schoevers, ISBW, Tio en meer in een klap."
1,Open Universiteit,"Zelfstandig (publiek, afstand)",Afstandsuniversiteit WO,circa 15.000 tot 26.000 studenten,Hoog,Nee,75000,150000,112500,Onbekend,Jaarverslag + cao-onderwijs: uren nakijken/scriptiebegeleiding in de docentbelasting,"Hoogste essay- en scriptievolume op afstand. Publieke inkoop is zwaarder (aanbesteding, DPIA), dus langere cyclus."
1,NCOI Opleidingen,Salta Group,Private HBO/MBO opleider,circa 20.000 studenten/jr,Hoog,Nee,50000,100000,75000,Onbekend,Vacatures 'docent/examinator' NCOI: vergoeding per beoordeeld werkstuk of per uur?,"Grootste merk binnen Salta, praktijkopdrachten op volume, commerciele besluitvorming."
1,LOI,Salta Group,Afstandsonderwijs HBO/MBO,circa 12.000 studenten,Hoog,Nee,40000,90000,65000,Onbekend,"Vacatures 'corrector'/'nakijker' LOI, tarief per opdracht","Klassiek afstandsonderwijs, nakijkvolume is kern van het model."
1,NTI,Salta Group,Afstandsonderwijs,grote thuisstudie-aanbieder,Hoog,Nee,30000,70000,50000,Onbekend,"Vacatures 'nakijkdocent' NTI, vergoeding per ingeleverde opdracht","Breed thuisstudie-aanbod, deel hobby/kort maar substantieel opdrachtvolume."
2,Nyenrode Business Universiteit,Zelfstandig,Private universiteit (business),enige private universiteit NL,Hoog,Nee,40000,90000,65000,Onbekend,Freelance-docentcontracten: aparte vergoeding voor scriptiebegeleiding en beoordeling,"Accountancy en controlling, overlap met financiele certificering. Directie beslist, geen aanbesteding."
2,TIAS School for Business and Society,Tilburg Univ / TU Eindhoven,Business school (exec ed),"exec en master, betalende deelnemers",Hoog,Nee,25000,60000,42500,Onbekend,Vergoedingsregeling kerndocenten: begeleiding en beoordeling apart van lesuren?,"Executive education, ROI-gedreven, korte lijnen."
2,NHA,Zelfstandig,Afstandsonderwijs,"500 tot 700 cursussen, 2 mln alumni",Middel,Nee,25000,60000,42500,Onbekend,"Vacatures 'corrector' NHA, tarief per nagekeken les/opdracht","Zeer groot, maar veel hobby- en VO-cursussen met beperkte essaybeoordeling."
2,ICM Opleidingen en Trainingen,Zelfstandig,Private opleider/trainer,Beste Opleider van NL (publieksprijs),Hoog,Ja,25000,55000,40000,Onbekend,Vraag direct in het lopende gesprek: hoeveel uur per maand gaat naar nakijken en wat betalen jullie daarvoor,Al als serieuze lead in de pipeline. Founder/directie beslist direct.
2,Capabel Onderwijs,Zelfstandig,Private MBO/volwassenen,landelijke vestigingen,Hoog,Ja,25000,55000,40000,Onbekend,Vraag direct in het lopende gesprek: nakijkuren in de docentformatie,Al als lead toegevoegd. Volwassenenonderwijs met opdrachtvolume.
2,Tio Business School,Salta Group,Private HBO/MBO (business/hospitality),"circa 2.000 studenten, 6 locaties",Hoog,Nee,25000,50000,37500,Onbekend,Docentvacatures Tio: examinatorrol en beoordelingsuren apart benoemd?,"Erkend hbo en mbo, kleinschalig en persoonlijk, past goed op formatieve feedback."
2,Wittenborg University of Applied Sciences,Zelfstandig,"Private HBO (business, Engels)","circa 1.100 studenten, 110 nationaliteiten",Hoog,Nee,20000,45000,32500,Onbekend,"Vacatures lecturer/examiner, Engelstalig: 'marking' als aparte taak met uren","Engelstalig, internationaal, aangewezen instelling. Datasoevereiniteit is hier een opener."
2,Avans+,Avans (private arm),Executive/post-HBO,exec en maatwerk,Middel,Nee,20000,45000,32500,Onbekend,Tarieven freelance-docenten Avans+: beoordeling apart gefactureerd?,"Commerciele tak van Avans, betalende deelnemers."
2,Business School Netherlands,Zelfstandig,MBA (action learning),MBA-programma's,Hoog,Nee,15000,40000,27500,Onbekend,Vergoeding actionlearning-begeleiders per beoordeeld assignment,Action-learning MBA met veel geschreven assignments tegen een standaard.
2,Markus Verbeek Praehep,Salta Group,Finance/accountancy opleider,beroepsopleidingen finance,Hoog,Nee,20000,45000,32500,Onbekend,Examenreglement: vergoeding examinatoren per gecorrigeerd examen,"Overlap met financiele certificering, open examenantwoorden."
2,NIBE-SVV,Salta Group,Bank/verzekering examens,beroepsexamens finance,Hoog,Nee,20000,45000,32500,Onbekend,"Examenreglement/examinatorvergoeding per correctie, sterkste signaal van de hele lijst",Examenvolume met open onderdelen.
2,Schoevers,Salta Group,Management/office opleider,"ruim 100 jaar, erkend MBO/HBO",Middel,Nee,15000,35000,25000,Onbekend,Vacatures docent Schoevers: nakijken in de uren of apart,"Praktijkopdrachten, mixed opdrachtvormen."
2,ISBW Opleidingen,Salta Group,Management opleider,management/middle management,Middel,Nee,15000,35000,25000,Onbekend,Freelance-trainerstarieven ISBW: beoordeling opdrachten apart,Managementopleidingen met opdrachten.
2,Scheidegger,Salta Group,HBO-programma's kort,eenjarige hbo-programma's,Middel,Nee,15000,35000,25000,Onbekend,Vacatures corrector/nakijker Scheidegger,"Korte programma's, opdrachtvolume aanwezig."
3,Business School Notenboom,Zelfstandig,Private HBO business school,"kleinschalig, Eindhoven/Maastricht",Hoog,Nee,8000,25000,16500,Onbekend,"Klein, vraag het gewoon in gesprek 1","Bewust kleinschalig, veel persoonlijke aandacht, snelle beslisser."
3,Webster University (Leiden),Webster (US),Private universiteit (Amerikaans),kleine campus Leiden,Hoog,Nee,10000,28000,19000,Onbekend,"US-model: adjunct faculty contracts, grading load per course","Engelstalig, essay-zwaar Amerikaans model."
3,EuroCollege HBO en MBO,Zelfstandig,Private HBO/MBO,meerdere locaties,Hoog,Nee,8000,25000,16500,Onbekend,Docentvacatures: examinatorrol apart belegd?,"Doet mee aan NSE, enthousiaste studenten, opdrachtgericht."
3,Intercollege Business School,Zelfstandig,Private HBO (Bedrijfskunde),"Utrecht, Den Haag, Amsterdam",Hoog,Nee,8000,22000,15000,Onbekend,"Klein, vraag het in gesprek 1","Ondernemend leren, leren door te doen, veel opdrachten."
3,Global School for Entrepreneurship,Zelfstandig,Private HBO (ondernemerschap),"Amsterdam, internationaal",Middel,Nee,8000,22000,15000,Onbekend,"Klein, vraag het in gesprek 1","Projectgericht, deels essaybeoordeling."
3,New School for Information Services,Zelfstandig,Private HBO (Amsterdam),kleinschalig,Middel,Nee,8000,20000,14000,Onbekend,"Klein, vraag het in gesprek 1",Niche private HBO.
3,TMO Fashion Business School,Zelfstandig,Private HBO (mode/business),Doorn,Middel,Nee,8000,20000,14000,Onbekend,Docentvacatures TMO: beoordeling assignments apart,Modemanagement met business assignments.
3,IVA Business School,Zelfstandig,Private HBO (automotive/business),Driebergen,Middel,Nee,8000,20000,14000,Onbekend,Docentvacatures IVA: beoordeling apart,"Automotive business, opdrachtgericht."
3,Beeckestijn Business School,Zelfstandig,Post-HBO exec (marketing),post-HBO en postdoctoraal,Middel,Nee,8000,22000,15000,Onbekend,Freelance-docenttarieven: beoordeling eindopdracht apart gefactureerd,"Marketing exec ed, praktijkopdrachten."
3,SBO (Studiecentrum Bedrijf en Overheid),Zelfstandig,Exec opleider,"congressen, cursussen, opleidingen",Middel,Nee,8000,22000,15000,Onbekend,"Waarschijnlijk nauwelijks nakijkbudget, check of leergangen een beoordeeld eindwerkstuk hebben","Publiek en bedrijfsleven, opdrachtvolume wisselend."
3,De Baak,Salta Group (49%),Leiderschap/persoonlijke ontwikkeling,managementcentrum,Laag,Nee,10000,30000,20000,Onbekend,"Waarschijnlijk geen nakijkbudget, laagste prioriteit voor deze check","Vooral leiderschap en gedrag, minder geschreven beoordeling. Lagere fit."
3,EuroPort Business School,Zelfstandig,Private business school,kleinschalig,Middel,Nee,6000,18000,12000,Onbekend,"Klein, vraag het in gesprek 1",Kleine private business school.
3,Coniche,Zelfstandig,MBO tot MBA + advies,Houten,Laag,Nee,6000,18000,12000,Onbekend,"Klein, vraag het in gesprek 1","Breed maar klein, gemengde fit."
