naam	lead_id	score	regels	bestand
Aston University	lead_f2J5OEhMExctWCKWWBl0Y8FsAJhiHtRh2DTM8VZcOEg	?	63	Aston-University.md
Atvica	lead_Zj8IItel0yfcRwEmZfu0nl0vF6uwkJFycQNngewbVMV	?	250	Atvica.md
Avans Hogeschool	lead_wgEbzJlj0B2LaZfi0yB0HBkHnqXmRtXKj6MbvnMl011	?	118	Avans-Hogeschool.md
Babel	lead_me3lOcgNR58cM8m0u377pc1rC7u8NSozOjX5bKHAvAk	?	44	Babel.md
Bath Spa University	lead_s6LxQyZ7yIyQnETykuPEI2B9H6TR25W5HwCLvNX7XFJ	?	7386	Bath-Spa-University.md
Birmingham City University	lead_FECcsNLisa2Jeh9h2xu5aUEnpsOHuXaqjWTmeWVjbne	?	31	Birmingham-City-University.md
Breda University of Applied Sciences	lead_BM1EBRIygnD5qEB6glUt8HXYlcPFV3MhfyPMyNWRkGK	?	57	Breda-University-of-Applied-Sciences.md
Breederode Hogeschool	lead_8sVUDLRJ6YRVHVD4c0pnmZ8WIoIkku6QnUMSm6aYC8c	?	940	Breederode-Hogeschool.md
Bristol University	lead_biyXkZujM0zGhT46gCqx9ugaTVPcQA9qkg4UCu5rdfK	?	215	Bristol-University.md
Brunel University of London	lead_U62Fc7AvLCsMpulW6J9YLLnAsoGlFEqB2wJpKnnqLyj	?	54	Brunel-University-of-London.md
Buckinghamshire New University	lead_EctzlcMvamFy8hgx4aW1G2vndfgLZVhdGBk5ScfTYPD	?	93	Buckinghamshire-New-University.md
Business School Notenboom	lead_4ZpmfrLKEVu0B6AXU6ndN9aGYhfl50JoOXG5m5nhRXM	?	674	Business-School-Notenboom.md
Business school Nederland	lead_lFz9aSPR6J44Mno6glfYsreey7rYBP0rbETGm9s3uqZ	?	165	Business-school-Nederland.md
CMI - Communications & Management Institute (IE)	lead_QEs8R48JUMTBSb26k7wLoTqUPrxR2Ysxcu0zRuQY07Y	?	288	CMI-Communications-Management-Institute-IE.md
Capabel Onderwijs	lead_FUGZyomfJhmbKVyfiubEcH7EMTdXKSAXihmV7WmlUCD	?	423	Capabel-Onderwijs.md
Cardiff University	lead_XYkyTTFQmcU1zM4frwcV3Qs7z7oJpKkZXXSavcjlX9q	?	114	Cardiff-University.md
Erasmus Universiteit Rotterdam	lead_hqfalwCod32lXq2bvMLiVBJfmIKruUC0KjFBWojeiup	?	30	Erasmus-Universiteit-Rotterdam.md
Forthvalley	lead_NR1N2A0tin2UqFOZsXVCebD685YUw0xWh2TkVyip6zh	?	31	Forthvalley.md
Freia groep	lead_ulmlJvuCpDVkPFbowEYE9nho4eazopIC73ZobIxfxxk	?	66	Freia-groep.md
GoldSmiths - University of London	lead_jzWkdkF23SUSKcR3dtJwNXzypLDcPHGD6gPkjklxs4f	?	226	GoldSmiths-University-of-London.md
Graafschap College	lead_Bn5JiTfk0FuEFEEpBQRkejSPlplLCUFlN4oDGH2k55k	?	359	Graafschap-College.md
HBMSU	lead_hYVlc1q1jC7bwWhw9OLB2Zcp3kPYBYWWUD37c5Cc0FE	?	166	HBMSU.md
HZ University of Applied Sciences	lead_CUr8JthsDPFDjWZVFiFx6A0hLX79l4Nf5JnuFJoLQDR	?	72	HZ-University-of-Applied-Sciences.md
Haagse Hogeschool	lead_waimXLhF6CqX6wqedhNAK5pJd2ExAENHQv9l88s4BvD	?	2002	Haagse-Hogeschool.md
Hanze	lead_qeEdbjyDzdDXTbUflW3HYPGu6Vm6gtR0XE4lTDKjEFa	?	43	Hanze.md
Hogeschool Dirksen	lead_FBv2RuGgEXWNnQOi6HwiLPa0Hx7Q5lUpbQlZJN8FUHT	?	72	Hogeschool-Dirksen.md
ICM opleidingen	lead_1bVj0k4v6YprIVys2iLnXN4IqoDupnJJqYHjMoIIR94	?	339	ICM-opleidingen.md
IVA Business School (Driebergen)	lead_48965rC0N7uA1mKFiFXqoZWzBEn4jlWfZnuN4pSqsdh	?	67	IVA-Business-School-Driebergen.md
Instituut Mentoris	lead_mozYeGBD5YvtfVwRsp3hpzaTpvyfjH0PanjdukZXFck	?	38	Instituut-Mentoris.md
LSBF	lead_gvOeb5Wpce3DaBX1mxdVwuL1MlTsaCSy79hOLgprH9f	?	133	LSBF.md
Liverpool John Moores University	lead_aBCvoUdEUMBi9VAU9N5zmIaKrYXYQIDmjoHUiDJ98yW	?	31	Liverpool-John-Moores-University.md
Manchester Metropolitan University	lead_A6NwexHmtncs6Ux25Ax7azlyGz3ktBodImoBS06TL5E	?	58	Manchester-Metropolitan-University.md
NHL Stenden	lead_KTEiys0MwwzCBNsnF6O3A1rPOAKIBiCawXH7uh8dzbb	?	51	NHL-Stenden.md
Noordhoff	lead_QUReRPzpB1XwirLwiUxObexNNirurglK57kHo6aactK	?	470	Noordhoff.md
North-West University / Noordwes-Universiteit	lead_4c9FAnE3ryS5EPb6zkVo7NiUbqnGmc8dbMqsbaAXo0W	?	180	North-West-University-Noordwes-Universiteit.md
North-West University	lead_3Sycga0ARfet43bV1rHiILT7it65a5r0khnwQlpKtSl	?	269	North-West-University.md
Northumbria University	lead_54NguoClRjgpoFawcvQN3CsMYm3OQWi8h6E8Bz9EgaX	?	38	Northumbria-University.md
Plymouth university	lead_kkezbDOUgLhHYZsOhIna5dUqvrlcgg1M4qopPANIkOE	?	72	Plymouth-university.md
Prifysgol Aberystwyth University	lead_2LH70WIy4bggXas3OMXAYevGwUQ079pDd8rmTWsUxCC	?	28	Prifysgol-Aberystwyth-University.md
Queens University Belfast	lead_JTuoI0ZPS4E4T2JfjA0ameCdAFSFNdc6fXvDUyxicur	?	128	Queens-University-Belfast.md
