lead,lead_id,studenten,deal_value,bron_niveau,bron,citaat,datum_bron,gecheckt_op,opmerking
Universal Technical Institute,lead_iERmDIaqQjAukGdBOUKXU5XYUWLBlP86JcjrqRl4lh6,14000,500000,eigen tekst,"Close-veld, ingevuld door Dante (26-09-2026)","I did research on it, and I believe around 15,000 students. The UTI field has 14,000. That is way more accurate. (Dante, chat 26-09-2026)",2026-09-26,2026-09-26,"Alleen de UTI-divisie, zonder Concorde. Robert (26-08, acti_Q1sNElbe12gOyBNTV5qYbQi7cAWIMPGnODzWyBQrXlT): 'all of our close to 20,000 students' valt af, 35% boven SEC Q3 FY2026 (14.767 gemiddeld actieve fulltime studenten UTI-divisie). In Close gezet op 26-09-2026: lead Deal value 500000 (was 14000, het oude studentenaantal); opportunity oppo_W5uVAffa9RhNmgWSiEoxoFZNOC3rmGINIIjWWNYgXFp van 400000 naar 500000 per jaar."
Breederode Hogeschool,lead_8sVUDLRJ6YRVHVD4c0pnmZ8WIoIkku6QnUMSm6aYC8c,800,29000,eigen tekst,acti_eD0u6lf6ceuyIH4raaoORORVt4DMjfH2eUp3Mpuh7QA (notitie 25-08),Zij hebben meer dan 800 cursisten over 13 opleidingen.,2026-08-25,2026-09-26,"Bevestigd: meeting 09-09 (acti_BTa81savOuwyAhXGnC48UGzqi0PHPjP5UmNb6HUKG08), Jeroen 'we kopen voor 800 studenten', Irma corrigeert niet; mail 17-09: Irma verbetert 150 naar 135 en laat 800 staan. Site 'meer dan 3.000 studenten in opleiding' telt niet (afgerond, inclusief korte cursussen). Deal value in Close staat nog op 3000 (Close Enrichment). Opportunity nu: oppo_PCB35aLoLGKKXmm3yq4HDeO7jp92oqHes3np1MEnlK4: 20000 eenmalig (Discovery)."
Haagse Hogeschool,lead_waimXLhF6CqX6wqedhNAK5pJd2ExAENHQv9l88s4BvD,,,leeg,,"Geen totaal van de klant: 15 meetings zonder transcript; Close en Gmail alleen deelgroepen (IVK 100, duaal 180). Site 'bijna 26.000' telt niet.",,2026-09-26,Opnieuw proberen met volledige netwerktoegang: DUO en jaarverslag 2025 waren geblokkeerd.
Bath Spa University,lead_s6LxQyZ7yIyQnETykuPEI2B9H6TR25W5HwCLvNX7XFJ,,,leeg,,"Geen totaal van de klant: 33 meetings, 1 transcript (16-07) zonder getal; pilot ~600 is een deelgroep. HESA 2024/25: 28.970, inclusief franchisepartners (o.a. Global Banking School), telt niet.",,2026-09-26,"Eigen aantal waarschijnlijk in Annual Report 2025 (bathspa.ac.uk, was geblokkeerd). Deal value in Close staat nog op 8305 (Close Enrichment), moet leeg."
Windesheim,lead_ksWkVIR0pOiSuXUyFupcEMXKNM6xmNkbUVmb4PjL9M2,25000,900000,mail,inkomende mail 2026-04-23 (Close),Windesheim heeft bij benadering: * 25.000 studenten,2026-04-23,2026-09-26,"Schatting van de klant, officieel 25.885 (jaarverslag 2024 p.36, GTM/Accounts/windesheim/financiele-analyse.md) wijkt 3,4% af, dus de klant telt. Eigen leerroute 7.000 is een deelgroep. Opportunity nu: oppo_9ysyeuszPsuGILIufgJtQzGNZE8XJYqo7XVPmAeDaKW: 200000 per jaar (Discovery)."
Rotterdam University of Applied Sciences,lead_sBQJUEcvvOsFiQ1RvvogLPX2cnpgGcs9VQVaqGI4dX8,37445,1300000,officieel,https://www.hogeschoolrotterdam.nl/hogeschool/nieuws/newsitem/jaarverslag-2025-hogeschool-rotterdam-bouwt-verder-aan-kennisinstelling/587891,The total number of students at Hogeschool Rotterdam came to 37.445 in 2025,2025,2026-09-26,"Via zoekresultaat, pagina zelf was geblokkeerd: verifiëren met volledige toegang. Close-getallen 170, 175, 325 zijn losse vakken. Opportunity nu: oppo_Xm3tczxJvAEKXAxj0DUXoq0CYqgWqD9E2hXQDPIeZhh: 10000 per jaar (Contracting, 85%)."
Rijksuniversiteit Groningen,lead_QRnRvtAVBv8irHTT7z16S8KMbaVjZ7jLK2Ye74N6p07,34314,1200000,eigen tekst,GTM/Accounts/rug-groningen/RUG_Eduface_ROI_2026-06-26.html,"Totaal studenten (2025-2026): 34.314, DUO via AlleCijfers.nl. Geverifieerd.",2026-06-26,2026-09-26,Referentiejaar 2025-2026 (DUO). De 30.000 in Close gaat over Bath Spa. Opportunity nu: oppo_vGoIbq4jsHKxcjEAUW7Ad8t4rMp0GIOnhUwp1fDU4it: 300000 per jaar (Discovery).
Radboud Universiteit,lead_RkErbdYpaKeN3op9saEZ3vUKGa1Wae56Dvf5PcqMUPP,23383,840000,officieel,https://www.ru.nl/en/about-us/news/23383-students-at-radboud-university-decrease-in-bachelors-programs-increase-in-masters-programs,"23,383 students are studying at Radboud University in the academic year 2025-2026 (as of October 1st)",2025-10,2026-09-26,Getal staat ook in de url van het nieuwsbericht. Opportunity nu: oppo_0euDT0VQUwdOnkesvx8hNDrArFDzqyZzBimTwQFJ4ef: 15000 per jaar (Pilot).
Tilburg University,lead_oA3n1ns5ZI57r9R4095f5bKIR0ekDvLMRPjcWpHnaIC,19178,690000,officieel,https://www.tilburguniversity.edu/current/news/more-news/student-enrollment-tilburg-university-2024-25-slightly-decreased,"Final enrollment figures for the 2024/2025 academic year show that 19,178 students are enrolled at Tilburg University",2024-25,2026-09-26,"Via zoekresultaat, pagina geblokkeerd; referentiejaar 2024-25, nieuwer cijfer 2025-26 mogelijk. Verifiëren met volledige toegang. Opportunity nu: oppo_i2dZj36Gq9SEhY1goltXKbp6J1ZFNYzthp1JEwyTuHk: 20000 per jaar (Pilot)."
BPP,lead_3nrr5BYrWpSptne4MNKa8YcEdIkAQfMIvvr6lAUG97I,,,leeg,,"HESA 2024/25 alleen als ""more than 25,000"" voor BPP University (afgerond, telt niet), en dat dekt niet de hele BPP-groep achter bpp.com.",,2026-09-26,"Gezocht: repo, Close sinds 24-09, Gmail bpp.com, WebSearch HESA. Vraag voor Dante: telt de hele groep of alleen BPP University?"
