Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2026-08-23 20:26:16,,UTC+02:00,93,58,49,33.63,98.03,,,,,2026-08-23 20:26:16,2026-08-24 05:59:02,75,14.4,533,572,260,127,146,39,640,127,95,35
2026-08-23 02:11:48,2026-08-23 20:26:16,UTC+02:00,65,60,41,34.48,98.29,14.5,1834,183,73,2026-08-23 02:11:48,2026-08-23 08:49:54,67,14.5,375,398,125,134,116,23,602,95,94,38
2026-08-21 21:35:10,2026-08-23 02:11:48,UTC+02:00,87,59,47,33.95,97.64,13.6,2813,165,75,2026-08-21 21:35:10,2026-08-22 05:29:55,79,14.2,460,474,191,147,122,14,609,127,97,63
2026-08-21 02:21:52,2026-08-21 21:35:10,UTC+02:00,14,61,34,34.19,97.00,4.6,1669,138,72,2026-08-21 02:21:52,2026-08-21 05:12:16,26,14.5,161,170,35,81,45,9,595,55,95,48
2026-08-19 21:21:00,2026-08-21 02:21:52,UTC+02:00,43,60,36,34.07,98.17,18.4,3923,193,83,2026-08-19 21:21:00,2026-08-20 05:29:57,82,14.9,470,488,272,102,96,18,556,49,96,68
2026-08-18 21:33:16,2026-08-19 21:21:00,UTC+02:00,90,58,47,33.70,98.33,13.6,2416,164,71,2026-08-18 21:33:16,2026-08-19 07:11:13,81,14.6,532,577,288,128,116,45,609,127,92,61
2026-08-18 00:30:00,2026-08-18 21:33:16,UTC+02:00,,,,,,4.1,1639,124,70,,,,,,,,,,,,,,
2026-08-17 01:17:41,2026-08-18 00:30:00,UTC+02:00,69,60,50,34.51,98.46,4.7,2159,165,72,2026-08-17 01:17:41,2026-08-17 06:54:20,60,14.8,313,336,104,100,109,23,590,65,94,51
2026-08-15 20:32:49,2026-08-17 01:17:41,UTC+02:00,60,60,42,33.91,98.23,16.3,3273,189,77,2026-08-15 20:32:49,2026-08-16 05:28:01,80,14.9,524,535,274,149,101,11,626,127,97,63
2026-08-14 23:32:16,2026-08-15 20:32:49,UTC+02:00,52,57,45,34.19,96.69,12.1,1907,156,71,2026-08-14 23:32:16,2026-08-15 05:28:59,71,14.6,349,356,166,89,94,7,603,121,97,74
2026-08-13 21:46:14,2026-08-14 23:32:16,UTC+02:00,52,60,43,34.57,95.31,4.5,2222,139,69,2026-08-13 21:46:14,2026-08-14 05:29:35,78,14.6,435,463,237,112,86,28,625,127,93,63
2026-08-13 02:03:40,2026-08-13 21:46:14,UTC+02:00,20,59,39,34.23,97.70,11.7,1766,157,72,2026-08-13 02:03:40,2026-08-13 06:20:10,38,14.8,247,256,109,84,54,9,644,127,97,60
2026-08-11 23:15:54,2026-08-13 02:03:40,UTC+02:00,57,54,50,34.02,96.28,15.1,3114,195,72,2026-08-11 23:15:54,2026-08-12 06:16:50,75,14.0,392,420,226,76,90,28,606,124,93,63
2026-08-10 21:13:22,2026-08-11 23:15:54,UTC+02:00,86,58,45,34.10,98.14,4.3,2247,131,64,2026-08-10 21:13:22,2026-08-11 04:26:51,73,14.1,415,433,231,95,89,18,609,127,95,47
2026-08-10 03:22:39,2026-08-10 21:13:22,UTC+02:00,20,63,49,35.15,96.00,4.6,1577,141,72,2026-08-10 03:22:39,2026-08-10 05:59:39,26,14.4,154,157,45,87,22,3,661,127,98,56
2026-08-09 00:29:35,2026-08-10 03:22:39,UTC+02:00,65,63,41,34.58,98.27,17.5,3872,190,86,2026-08-09 00:29:35,2026-08-09 06:39:46,70,14.4,340,370,161,103,76,30,597,97,92,
2026-08-07 23:45:06,2026-08-09 00:29:35,UTC+02:00,76,60,43,34.34,97.00,12.2,2583,180,78,2026-08-07 23:45:06,2026-08-08 05:21:12,75,14.8,324,336,140,116,68,12,519,0,96,
2026-08-07 00:00:00,2026-08-07 23:45:06,UTC+02:00,,,,,,4.5,402,134,72,,,,,,,,,,,,,,
2026-08-04 00:00:00,2026-08-05 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22 00:00:00,2026-07-23 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20 00:00:00,2026-07-21 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17 00:00:00,2026-07-18 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16 00:00:00,2026-07-17 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13 00:00:00,2026-07-14 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12 00:00:00,2026-07-13 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10 00:00:00,2026-07-11 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08 00:00:00,2026-07-09 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04 00:00:00,2026-07-05 00:00:00,UTC+02:00,,,,,,,,,,,,,,,,,,,,,,,
