Naam,Organisatie,Functie,LinkedIn,Connectieverzoek,Tekens
Janneke Deterink,TSM Business School,"Directeur, sinds 1 september 2025",https://nl.linkedin.com/in/jannekedeterink,"Hi Janneke, ik las je interview over je directeurschap. Gefeliciteerd nog, ook al is het alweer bijna een jaar geleden. Zelf ging ik aan op het stukje dat de wereld snel verandert en dat dat iets vraagt van het onderwijs. Wij ondersteunen docenten bij nakijken en feedback op studentopdrachten.",294
Thijs Groenen,Hogeschool Dirksen,Directeur opleidingen (sinds september 2023),https://nl.linkedin.com/in/thijs-groenen-67370546,"Hi Thijs, ik las dat blended learning centraal staat. Dit creëert een flexibele leeromgeving, maar kan tegelijkertijd ook veel persoonlijke aandacht van docenten vragen. O.a. hierom zet de RU ons onderwijskundig AI-model in voor het ondersteunen van docenten. Moeite waard om te connecten?",289
Marcel van Marrewijk,SDO Hogeschool,Voorzitter/decaan,https://www.linkedin.com/in/marcelvanmarrewijk/,"Hi Marcel, ik las hoe een afstudeerder van je met zijn begeleider een zelfbewuste professional werd. Ons onderwijskundig AI-model ondersteunt docenten bij het geven van feedback op schrijfopdrachten, o.a. bij Tilburg University. Wil je er meer over weten?",255
Femke Bex,Academie Artemis,Hoofd Onderwijs,https://www.linkedin.com/in/femke-bex-5a994122/,"Hi Femke, ik las in jullie visitatierapport dat studenten naast een visueel eindexamenproject ook een onderzoeksverslag schrijven. Dat verraste me bij jullie creatieve opleidingen :) Met ons onderwijskundig AI-model ondersteunen wij docenten bij het geven van feedback. Wil je er meer over weten?",296
Conny Spijker,Schouten & Nelissen,Teamlead Learning & Development,https://www.linkedin.com/in/connyspijker/,"Hi Conny, je schreef dat de kracht van AI in het empoweren van de mens zit, niet in het vervangen. Helemaal mee eens. Ons AI-model, gebouwd met Universiteit Leiden, ondersteunt docenten bij nakijken en feedback op studentopdrachten. Wil je horen hoe de Radboud Universiteit het inzet?",284
Marjolein Looij,Academica University of Applied Sciences,Opleidingsdirecteur Schoolleidersopleiding en Master,https://www.linkedin.com/in/marjoleinlooij/,"Hi Marjolein, ik zag dat je twaalf jaar in de ICT zat voordat je de schoolleidersopleiding ging leiden. Dan hoef ik jou vast niet uit te leggen waarom AI het onderwijs raakt :) Ons onderwijskundig AI-model ondersteunt docenten bij het geven van feedback. Wil je er meer over weten?",281
Nynke Wagenaar,Amsterdam School of Real Estate,Manager Digitale Innovatie en Onderwijsbureau,https://www.linkedin.com/in/nynke-wagenaar-b4954b67/,"Hi Nynke, ik las in jullie onderwijsvisie dat elk toetsmoment ook een leermoment is, met bewust de nadruk op feedback. Precies daar hebben wij Eduface op gebouwd: formatieve feedback op schrijfopdrachten. Is dit het soort innovatie waar je open voor staat om er meer over te leren?",281
Laura van Driel,BTSG,Directeur en adviseur,https://www.linkedin.com/in/laura-van-driel/,"Hi Laura, ik zag dat jullie bewust kiezen voor modulaire opleidingen. Modulair opknippen betekent ook meer tussentijdse beoordelingen. Ons AI-model ondersteunt docenten bij nakijken en feedback op studentopdrachten, zodat dat consistent blijft. Wil je er meer over weten?",271
Dineke van Voorthuijsen,Brave Minds / MBOzaak,Oprichter / Directeur onderwijs,https://www.linkedin.com/in/dineke-van-voorthuijsen-3bb62b4/,"Hi Dineke, ik zag dat jullie modulair werken, steeds 1 vak per keer zodat het overzichtelijk blijft. Dat betekent ook meer tussentijdse beoordelingen. Ons onderwijskundig AI-model ondersteunt docenten bij het geven van feedback, o.a. hierom zet de Haagse Hogeschool ons in. Wil je er meer over weten?",300
Irma van der Velden,Breederode Hogeschool,Directeur,https://www.linkedin.com/in/irma-van-der-velden-4b385113/,"Hi Irma, ik zag dat je ruim tien jaar de Master Physician Assistant bij Hogeschool Rotterdam leidde. Bij hun lerarenopleiding zetten ze nu ons onderwijskundig AI-model in, dat docenten ondersteunt bij feedback op schrijfopdrachten. Ook iets voor Breederode? Wil je er meer over weten?",284
Ernst Eijsvogel,Freia Groep,Operationeel directeur,https://www.linkedin.com/in/ernsteijsvogel/,"Hi Ernst, als operationeel directeur draai je acht merken onder Freia, allemaal met scripties en action learning. Dan kan ik me voorstellen dat consistent beoordelen over al die merken een uitdaging is. Ons AI-model ondersteunt docenten bij feedback op schrijfopdrachten. Wil je er meer over weten?",298
Jeroen van Dam,Intop Zorgsector,Voorzitter examencommissie (nevenrol; hoofdfunctie Tergooi MC),https://www.linkedin.com/in/jeroenvdam/,"Hi Jeroen, ik zag dat je voorzitter bent van de examencommissie bij Intop. Wij helpen opleiders met een AI-model dat docenten ondersteunt bij feedback op schrijfopdrachten, o.a. bij Hogeschool Rotterdam. Bij wie kan ik hiervoor het beste zijn? Het lukte me niet goed om die persoon te vinden.",292
André Smits,KOB / Stichting BOB-KOB,Directeur BOB-KOB / manager Vastgoed Academy,https://www.linkedin.com/in/andr%C3%A9-smits-66bb35/,"Hi André, ik zag dat jullie de opleidingen aan het digitaliseren zijn en daar developers voor zoeken. Wij bouwen iets dat daar goed bij past: een AI-model dat docenten ondersteunt bij feedback op schrijfopdrachten, o.a. bij Hogeschool Rotterdam. Wil je er meer over weten?",272
Juliette Wildenburg,PHOV,Coordinator A&O,https://www.linkedin.com/in/juliette-wildenburg-89a5b295/,"Hi Juliette, je schrijft dat mensen floreren als ze fouten mogen maken zonder angst. In leren doet formatieve feedback precies dat: zien waar je staat vóór het eindoordeel. Daar hebben wij Eduface op gebouwd, feedback op schrijfopdrachten, o.a. bij de Haagse Hogeschool. Wil je er meer over weten?",297
Rosa de Boer,SOMT University of Physiotherapy,Coordinator content LifeLong Learning,https://www.linkedin.com/in/rosa-de-boer-4492235/,"Hi Rosa, je omschrijft jezelf als iemand met een scherpe pen en een evidence-based blik. Precies dat ontwikkelen jullie deelnemers in hun schrijfwerk. Ons AI-model ondersteunt docenten bij nakijken en feedback op studentopdrachten, o.a. bij de Radboud Universiteit. Wil je er meer over weten?",292
Rutger van Hogezand,Stichting Wateropleidingen,Strategic Manager World Water Academy / Wateropleidingen,https://www.linkedin.com/in/rutgervanhogezand/,"Hi Rutger, ik zag dat je van Hogeschool Rotterdam komt, waar je Water Management leidde, voordat je naar Wateropleidingen ging. Bij hun lerarenopleiding zetten ze nu ons AI-model in, dat docenten ondersteunt bij feedback op schrijfopdrachten. Ook iets voor Wateropleidingen? Wil je meer weten?",293
Edu van de Walle,EuroCollege Hogeschool,Algemeen directeur / DGA,https://www.linkedin.com/in/edu-van-de-walle-5b8b1530/,"Bondia Edu, ik zag dat jullie een vestiging op Curaçao openen, waar ik zelf vandaan kom, dus dat sprong er meteen uit. Los daarvan: ons AI-model ondersteunt docenten bij nakijken en feedback op studentopdrachten, o.a. bij Hogeschool Rotterdam. Wil je er meer over weten?",270
Larissa Petrus - Al Bazi,NOVI Hogeschool,Manager Educational Development & Quality,https://www.linkedin.com/in/larissa-albazi/,"Hi Larissa, ik zag dat je onderwijsontwikkeling en kwaliteit bij NOVI trekt, en dat je aan Hogeschool Rotterdam studeerde. Bij hun lerarenopleiding zetten ze nu ons AI-model in, dat docenten ondersteunt bij nakijken en feedback op studentopdrachten. Ook iets voor NOVI? Wil je meer weten?",288
Corne Bulkmans,PHOV,Algemeen directeur,https://nl.linkedin.com/in/corn%C3%A9-bulkmans-8398074,"Hi Corné, ik zag dat PHOV-deelnemers een scriptie schrijven op basis van een praktijkopdracht in hun eigen bedrijf, en dat je zelf aan De Haagse Hogeschool studeerde. Daar zetten ze nu ons AI-model in, dat docenten ondersteunt bij nakijken en feedback op zulk werk. Ook iets voor PHOV?",285
Petra Jungjohann,OSR juridische opleidingen,Directeur-bestuurder,https://www.linkedin.com/in/petrajungjohann/,"Hi Petra, je schrijft dat OSR-deelnemers het recht niet alleen moeten beheersen maar ook rechtvaardig toepassen. Dat oefen je in geschreven casus en adviezen. Ons AI-model ondersteunt docenten bij nakijken en feedback op zulk werk, o.a. bij Tilburg University. Wil je er meer over weten?",287
