Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen
 NONONS Opleidingen BV,www.nonons.nl,Amsterdam,Linnaeushof 1-6,1098 KH,2021-10-19,,,
2Moons,https://www.2moons.nl/,BLEISWIJK,Hoekeindsehof 1,2665 JZ,2019-11-05,,,
5ST3PS,https://www.5st3ps.nl,Rotterdam,Weena 290 - W200,3012 NJ,2022-05-01,,,
@The Academy ,www.the-academy.nl,Eindhoven,Paradijslaan 40,5611KP,2020-11-13,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
@The Academy btw vrij bv,www.the-academy.nl,Eindhoven,Paradijslaan 40,5611KP,2024-02-07,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
ABC Opleiding & Training,https://abc-opleiding.com/,Paramaribo,Louiselaan 115 / Hoek Verlenge Mahonylaan,,2018-02-01,,,
Academica University of Applied Sciences,https://www.academica-group.com/,Nederland,Weteringschans 28,1017 SG,2026-07-06,,,
Academie Hypnos,https://hypnos.nl/,Voorthuizen,Hoofdstraat 185,3781 AE,2022-05-17,,,
Academie voor Arbeidsmarktcommunicatie ,https://www.academievoorarbeidsmarktcommunicatie.nl/,Rotterdam,Weena 210-212,3012 NJ,2020-08-18,,,
Academie voor Chinese Geneeswijze Qing- Bai,www.qing-bai.nl,Milsbeek,Kanonskamp 60,6596 AT ,2022-07-27,,,
Academie voor Coaching en Counselling,https://www.counselling.nl/,AMSTELVEEN,Startbaan 6,1185 XR,2019-03-08,,,
Academie voor Geesteswetenschappen,www.academiegeesteswetenschappen.nl,Utrecht,Hengeveldstraat 29,3572 KH,2021-07-09,,,
Academie voor Interieur Ontwerp,https://academievoorinterieurontwerp.nl,Zwolle,Herenweg 98,8025 AD,2025-01-08,,,
Academie voor Leefstijl en Gezondheid,www.avleg.nl,Ede,"HNK - Horapark, Bennekomseweg 41",6717 LL,2022-04-04,,,
Academie voor Opstellingen B.V.,www.familieopstellingen.nl,Amsterdam,Linnaeushof 66hs,1098 KP,2022-07-27,,,
Academie voor Podologie,www.academiepodologie.nl,UTRECHT,St. Laurensdreef 22,3565 AK,2017-01-01,,,
Academie voor Psychodynamica BV,www.psychodynamica.nl,Scherpenzeel,Burgemeester Royaardslaan 3,3925GG,2022-01-31,,,
Academie voor Vastgoed,www.academievoorvastgoed.nl,Utrecht,Orteliuslaan 951,3528 BE,2026-02-20,,,
Academysuite B.V.,www.academysuite.nl,Lunteren,Dorpsstraat 22,6741 AK,2021-02-10,,,
Acceptus,www.acceptus.nl,Waal,Waal 7,2968 GB,2013-09-26,,,
ACT Guide B.V.,https://www.act-guide.com,EINDHOVEN,High Tech Campus 32,5656 AE,2020-04-24,,,
Active4you,www.active4you.nl,EINDHOVEN,Schiestraat 5,5626 AZ,2017-06-01,,,
Ad Appel Taaltrainingen,https://www.adappel.nl/,HEEMSTEDE,Glipperweg 94-G,2104 AM,2018-08-16,,,
Adviesbureau Kap,www.kap-opleidingen.nl,WERKENDAM,Ferrandstraat 7,4251 LL,2012-12-05,,,
Adwise Academy B.V.,www.adwise.nl,Almelo,Twentepoort West 12A,7609 RD,2020-09-03,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Aeres Tech,www.aeres.nl,Ede,Zandlaan 29,6717 LN,2020-11-01,,,
Agile Scrum Group BV,https://agilescrumgroup.nl,Amsterdam,H.J.E. Wenckebachweg 123,1096 AM,2022-01-25,,,
Alsare Academie B.V.,https://alsare.nl,Rotterdam,Linker Rottekade 292 unit 4.01,3034 CV,2024-06-17,,,
Amice Academy B.V.,www.amice.nl,Hoevelaken,Hogebrinkerweg 17a,3871 KM,2021-08-05,,,
Amsterdam Data Academy,https://amsterdamdataacademy.com/,Zeist,Steynlaan 44,3701EH,2022-03-22,,,
Amsterdam Wine Academy,www.amsterdamwineacademy.com,Amsterdam ,Lutmastraat 91- H,1073 GR,2022-07-20,,,
Amsterdams ADR Instituut,www.adrinstituut.nl,Diemen,Dalsteindreef 141,1112 XJ,2022-04-04,,,
AN-i,www.an-i.nl,Zeist,Jagerlaan 12,3701 XJ,2022-04-04,,,
aNewSpring,www.anewspring.com,ROTTERDAM,Westblaak 180,3012 KN,2014-05-16,,,
Apis Academy B.V.,https://apis-academy.nl,Nijkerk,Westkadijk 10c,3861 MB,2025-02-21,,,
