Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Academica University of Applied Sciences,Ja,"NVAO-adviesrapport M Excellent Teaching: ""De thesis wordt door twee examinatoren beoordeeld aan de hand van een rubric."" — https://publicaties.nvao.net/prd/AV-2633_20250310_Rapport_Adviesrapport%20M%20Excellent%20Teaching%20Academica%20AV-2633.pdf",Onbekend,"Privaat hbo volgens NVAO-rapport, bekostigingsstatus nog te bevestigen",Academica Group,"Privaat hbo, bachelor en master voor werkende professionals (o.a. leraren), deeltijd"
Academie Artemis,Ja,"NVAO-beoordelingsrapport Allround Styling: ""Ieder onderzoek wordt door de begeleider en een tegenlezer gelezen en summatief beoordeeld."" — https://publicaties.nvao.net/prd/AV-1034_20230217_Rapport_Beoordelingsrapport%20Artemis%20Allround%20Styling%20v2.0.pdf",Ja,Particuliere niet-bekostigde hogeschool volgens NVAO-rapport (zelfde bron),Zelfstandig,"Particulier hbo kunstvakonderwijs (Allround Styling, Creative Concept Developer), voltijd, Amsterdam"
Academie Hypnos,Ja,"Jaar 3 kent ""schriftelijk examen, een praktijkexamen en een afstudeeropdracht op hbo-niveau""; regels staan in het eigen Onderwijs Examen Reglement — https://hypnos.nl/de-opleiding-praktisch/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vierjarige hbo-opleiding hypnotherapie, eigen OER en afstudeeropdracht"
Actuarieel Instituut,Ja,"OER 2025-2026 art. 15 lid 1: ""Het AI is verantwoordelijk voor de organisatie, coordinatie en beoordeling van de tentamens."" — https://www.actuarieelinstituut.nl/download-bewerken/onderwijs-en-examenregeling-2025-2026 | Aanvullend: ""Master's thesis is mandatory"" — https://www.actuarieelinstituut.nl/opleidingsaanbod/executive-master-of-actuarial-science | NVAO EMAS-rapport: ""Beide examinatoren vullen onafhankelijk van elkaar het beoordelingsformulier in en komen uiteindelijk tot een gemiddeld cijfer."" — https://publicaties.nvao.net/prd/AV-2582_20240712_Rapport_RAPPORT%20EMAS%20-%20Actuarieel%20Instituut%20-%20DEF2.pdf",Ja,"Stichting, deeltijd beroepsopleidingen, EMAS kost EUR 30.450, geen bekostigde universiteit — https://www.actuarieelinstituut.nl/over-het-actuarieel-instituut",Stichting Actuarieel Instituut,"Postacademisch actuarieel vakonderwijs (EMAS/AM&RM/ANN), deeltijd, voor financiele/verzekerings- en pensioenprofessionals"
Amsterdam School of Real Estate (ASRE),Ja,"OER 2025-2026 art. 5 lid 2: ""Het resultaat van elke toets (...) wordt beoordeeld door de examinator. De examinatoren zijn bevoegd een beoordeling te geven."" — https://asre.nl/wp-content/uploads/2025/09/OER-2025-2026.pdf",Onbekend,Nog te checken,Nog te checken,"Postinitieel wetenschappelijk vastgoedonderwijs (wo-master MRE/MSRE), deeltijd"
AN-i,Ja,"""Indien je een schriftelijke module of examen niet mocht halen, dan krijg je twee mogelijkheden tot herkansing""; opzet is 8 modules plus examen en diploma — https://www.an-i.nl/opleiding-arbeidsrecht/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Arbeidsrecht-opleider met eigen modules, examen en diploma"
AOG School of Management,Ja,"""Hierin werk je in groepen van maximaal 10 personen aan jouw eindopdracht."" plus ""Naast deze gezamenlijke bijeenkomsten heb je ook 8 uur individuele begeleiding van je kerndocent. De Thesis wordt afgesloten met een mondeling examen (verdediging)."" en ""Na een positieve beoordeling van de examencommissie ontvang je jouw Masterdiploma."" — https://www.aog.nl/opleiding/professional-master-strategy-leadership-msc/",Ja,"NRTO-lid, particuliere academische opleider",Freia Groep,"Academisch opleidingsinstituut, professional masters (MSc, 15 EC thesis) en leergangen; eigen examencommissie en kerndocenten"
AOG TSM Business School,Ja,"NVAO-visitatierapport MBA Innovation & Leadership: ""Examinatoren zijn voldoende geschoold om toetsen te ontwikkelen en het werk van deelnemers te beoordelen."" — https://publicaties.nvao.net/prd/AV-2976_20250320_Rapport_Definitief%20rapport%20visitatie%20MBA%20Innovation%20_%20Leadership_Aequi%20(ISAT%2070214).pdf",Onbekend,"B.V., postacademisch, nog te bevestigen",AOG TSM Business School B.V.,"Postacademisch bedrijfskundig managementonderwijs (MBA) voor werkende professionals, deeltijd"
Babel Taalcursussen,Ja,"""De toets wordt nagekeken door een van onze taaltrainers"" bij de niveautoets, en Babel geeft een eigen certificaat dat de vier vaardigheden op het gewenste taalniveau bevestigt, officieel erkend door het CIBG — https://babel.nl/toetsing-en-certificering",Ja,"Privaat talencentrum, cursisten betalen — https://www.babel.nl/over-babel/","Babel B.V. (KvK 57830975); moeder mogelijk Sinear B.V., niet bevestigd","[AL IN CLOSE - Prospect, niet koud benaderen] Privaat talencentrum, official language partner Universiteit Utrecht"
Bedrijfskunde Opleiding Utrecht,Ja,"""bij je eindbeoordeling een gewogen gemiddelde score van alle opdrachten hebt van hoger dan of gelijk aan 7,5"" — https://bedrijfskundeopleidingutrecht.nl/praktische-informatie/afstuderen-met-eervolle-vermelding/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo bedrijfskunde en projectmanagement voor professionals
Beeckestijn Business School,Ja,"""U krijgt hierin coaching en begeleiding van docenten en sluit de opleiding af met een eindgesprek waarin u uw plan toelicht."" plus ""U wordt, bij het behalen van een 7 of hoger voor uw eindopdracht, opgenomen in het DIM-register als digital marketing professional."" — https://www.beeckestijn.org/post-hbo-opleidingen/",Onbekend,Nog te checken,"Zelfstandig (Beeckestijn Business School B.V., KvK 09164553)","Post-hbo en executive: digital, marketing, CX, AI, data, leiderschap"
BeeldCentrum,Ja,"""Bij het met goed gevolg afronden van het afstudeerproject ontvang je het diploma van de Opleiding tot Vakfotograaf"" — https://beeldcentrum.nl/afstudeerproject/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere fotografie-vakopleiding met eigen afstudeerproject en diploma
Beroepsopleiding Personenschade,Ja,"""Het examen bestaat uit drie onderdelen: dossieraudit, onderhandelingsgesprek en een theorie examen."" Eigen Examencommissie en eigen Onderwijs- en Examenreglement; hbo-niveau, diploma met cijferlijst — https://www.beroepsopleiding-personenschade.nl/beroepsopleiding-personenschade-middelzwaar-letsel",Onbekend,"Waarschijnlijk particulier, geen bron gevonden",NIVRE-geaccrediteerd,Branche-opleiding letselschadebehandelaars
Bestuursacademie Nederland,Ja,"""Binnen 4 weken na de examendatum of geplande inleverdatum van de opdracht is het cijfer met het beoordelingsformulier zichtbaar op e-Connect."" — https://www.bestuursacademie.nl/veelgestelde-vragen/examens-en-afronding.html",Ja,Niet-bekostigde opleider binnen de NCOI-opleidingsgroep,Salta Group / NCOI,"Opleider openbaar bestuur, bestuurskunde en bestuursrecht voor overheidsprofessionals"
Brave Minds,Ja,"""rijkserkende mbo-opleidingen"" plus eigen vacature ""Freelance Examinator"" op de eigen site — https://www.brave-minds.nl/",Ja,NRTO-lid,MBOzaak / Brave Minds BV,"Particuliere mbo-opleider (BOL 18 mnd + deeltijd), niveau 4; eigen examinatoren, bewijs indirect"
Breederode Hogeschool,Ja,"NVAO-rapport Master Manuele Therapie: ""Bij al deze toetsen wordt het vier-ogenprincipe ingezet: de beoordeling wordt uitgevoerd door twee beoordelaars."" — https://publicaties.nvao.net/prd/AV-2238_20240304_Rapport_Breederode%20MMT%20def.pdf",Ja,"Particuliere hogeschool, deeltijdmaster voor werkende fysiotherapeuten (zelfde NVAO-bron)",Zelfstandig,"Particulier hbo, deeltijdmaster Manuele Therapie (90 EC) voor werkende fysiotherapeuten, Rotterdam"
BTSG,Ja,"""Het examengesprek wordt op een afgesproken moment ingepland en digitaal afgenomen door twee examinatoren van BTSG"" — https://btsg.nl/veelgestelde-vragen/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,CZO-erkende zorgopleider ouderenzorg en dementie; twee eigen examinatoren
Bureau STERK,Ja,"""Bureau STERK neemt de instellingsexamens af: voor de talen zijn dat drie onderdelen: Spreken, Gesprekken en Schrijven."" — https://bureausterk.nl/toetsen",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,EVC-bureau met eigen assessoren en instellingsexamens
Business School Nederland,Ja,"""Viva Voce; mondelinge verdediging van je dissertation"" na de Action Learning afstudeeropdracht waarin ""je een complex strategisch vraagstuk oplost voor jouw eigen organisatie"" — https://www.bsn.nl/opleidingen/mba/action-learning/",Ja,"Particuliere business school, ACBSP- en FIBAA-geaccrediteerd",Business School Netherlands,"Action Learning MBA (hbo-master); dissertation plus verdediging. Nam in maart 2025 Business School Notenboom over, die staat al op de lijst"
Business School Notenboom,Ja,"NVAO-panelrapport hbo-ba Business Administration: ""De eindscripties zelf worden beoordeeld door een commissie van twee beoordelaars."" — https://publicaties.nvao.net/51a5ecfbdbe6e_rapport%20Notenboom%20hbo-ba%20Business%20Administration.pdf",Onbekend,Nog te checken,Business School Netherlands (overname maart 2025),"Privaat hbo business, plus vmbo-tl/havo/vwo en mbo"
BusinessCoach Nederland,Ja,"""Je studiebegeleider helpt je bij het opbouwen van een sterk portfolio, waarin je laat zien hoe je de theorie toepast in echte praktijksituaties. Je krijgt gerichte feedback"" plus eigen schriftelijk theorie-examen en mondeling examen — https://www.businesscoach.nl/aansluiten/register-opleiding-businesscoach/",Ja,NRTO-lid,Zelfstandig,"Post-hbo Register Business Coach (CPION); portfolio + eigen examens, eigen studiebegeleiders geven feedback"
Certify360 EdTech Group,Ja,"Moeder van 10 opleidingslabels: ""Education360 B.V. - Lindenhaeghe B.V. - Lindenhaeghe Examens B.V. - Lindenhaeghe International BV - Lindenhaeghe Opleidingen B.V. - FOI B.V. - IVA Opleidingen - CS Opleidingen B.V. - WWZ Academie B.V. - LearnCare Academy B.V. - Nederlandse Compliance Instituut B.V."" — https://www.nrto.nl/leden/lindenhaeghe-groep-bv/ ; nakijkvolume bewezen bij WWZ Academie en NCI",Ja,"NRTO-lid, private equity (Capital A)",Certify360 EdTech Group (moeder),"Opleidingsgroep compliance, finance, vastgoed en sociaal domein; groepsbrede ingang, smaak 2"
CIVAS,Ja,"Eigen docenten corrigeren en cijferen alle huiswerkopdrachten: ""Stuur jij je huiswerk in per e-mail dan ontvang je uiterlijk binnen drie werkdagen de correcties van je docent retour."" — https://www.civas.nl/over-uw-studie/huiswerk-en-begeleiding/ ; diploma alleen als ""alle huiswerkopdrachten zijn ingeleverd en beoordeeld met minimaal een 5,5 of hoger"" — https://www.civas.nl/over-uw-studie/examens",Ja,NRTO-lid,Civas B.V. (ook Civas Belgie),"Thuisstudie-opleider coaching, voeding en psychologie; eigen vakdocenten corrigeren alle opdrachten"
Coniche,Ja,"""Wanneer je de volledige opleiding afrondt en je eindopdracht met succes verdedigt, ontvang je het erkende diploma Customer Experience Management."" Praktijkopdrachten moeten minimaal 10.000 euro waarde opleveren voor de eigen organisatie — https://coniche.nl/opleidingen/hbo/post-hbo-customer-experience-management/",Onbekend,Nog te checken,Zelfstandig,Post-hbo klantcontact en advies
Edufit,Ja,Eigen MC-toets BKE plus een verbeterplan dat door de eigen trainer wordt beoordeeld — https://edufit.nl/training-toetsen-van-leeruitkomsten-basiskwalificatie-examinering/,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Docentprofessionalisering hbo (BDB/BKE); klanten zijn hogescholen, dus ook een kanaal"
Esoterra,Ja,"""Examen met eindopdracht"" — https://www.esoterra.nl/product/opleiding-massagetherapeut-3-jaar/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Complementaire zorg-opleidingen met eigen eindexamen
