Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",1,15.0,12.0,0,0.0,"","rug en bicep",
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",2,15.0,8.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",3,15.0,8.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",4,15.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",5,15.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",1,25.0,12.0,0,0.0,"",,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",2,20.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",3,20.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",4,20.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Seated Row (Machine)",5,20.0,12.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Back Extension",1,0,20.0,0,0.0,"",,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Back Extension",2,0,20.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Back Extension",3,5.0,14.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Bicep Curl (Dumbbell)",1,10.0,10.0,0,0.0,"",,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Bicep Curl (Dumbbell)",2,8.0,10.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Bicep Curl (Dumbbell)",3,6.0,10.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Hammer Curl (Dumbbell)",1,10.0,10.0,0,0.0,"",,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Hammer Curl (Dumbbell)",2,8.0,10.0,0,0.0,,,
2021-06-08 21:04:22,"Evening Workout",2h 35m,"Hammer Curl (Dumbbell)",3,6.0,10.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",1,20.0,12.0,0,0.0,"","",
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",2,40.0,12.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",3,50.0,12.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",4,60.0,5.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",5,70.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",6,80.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",7,60.0,14.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Squat (Barbell)",8,60.0,15.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Front Squat (Barbell)",1,30.0,10.0,0,0.0,"",,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Front Squat (Barbell)",2,30.0,10.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Front Squat (Barbell)",3,30.0,10.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Front Squat (Barbell)",4,30.0,5.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",1,40.0,8.0,0,0.0,"",,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",2,40.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",3,40.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",4,35.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",5,35.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",6,35.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",7,25.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",8,25.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",9,25.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",10,25.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",11,25.0,8.0,0,0.0,,,
2021-06-10 21:01:43,"Evening Workout",3h 8m,"Leg Extension (Machine)",12,25.0,8.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",1,20.0,10.0,0,0.0,"","",
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",2,40.0,8.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",3,35.0,12.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",4,40.0,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",5,40.0,12.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Bench Press (Barbell)",6,45.0,6.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Overhead Press (Barbell)",1,20.0,12.0,0,0.0,"",,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Overhead Press (Barbell)",2,22.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Overhead Press (Barbell)",3,22.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Overhead Press (Barbell)",4,20.0,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Incline Bench Press (Dumbbell)",1,8.0,12.0,0,0.0,"",,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Incline Bench Press (Dumbbell)",2,8.0,12.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Incline Bench Press (Dumbbell)",3,8.0,12.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Incline Bench Press (Dumbbell)",4,8.0,12.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",1,2.5,12.0,0,0.0,"10 keer beiden kanten \n",,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",2,2.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",3,2.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",4,2.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",5,2.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Lateral Raise (Cable)",6,2.5,10.0,0,0.0,,,
2021-06-14 19:52:47,"Evening Workou9t",3h 46m,"Running (Treadmill)",1,0,0.0,2.0,900.0,"",,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Press",1,60.0,12.0,0,0.0,"","",
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Press",2,60.0,15.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Press",3,60.0,15.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",1,20.0,12.0,0,0.0,"",,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",2,40.0,12.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",3,60.0,12.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",4,65.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",5,65.0,2.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Squat (Barbell)",6,50.0,12.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",1,40.0,8.0,0,0.0,"",,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",2,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",3,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",4,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",5,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",6,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",7,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",8,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",9,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",10,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",11,40.0,8.0,0,0.0,,,
2021-06-16 10:54:00,"Morning Workout",2h 33m,"Leg Extension (Machine)",12,40.0,8.0,0,0.0,,,
