Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
,,,Took creatine?,true,
,,,Felt energized throughout the day?,true,
,,,Experienced stress?,false,
,,,Took creatine?,true,
,,,Did compression therapy?,false,
,,,Viewed a screen device in bed?,true,
,,,Spent time stretching?,false,
2026-05-29 01:21:41,2026-05-30 00:16:34,UTC+02:00,Spent time stretching?,false,
2026-05-29 01:21:41,2026-05-30 00:16:34,UTC+02:00,Did compression therapy?,false,
2026-05-29 01:21:41,2026-05-30 00:16:34,UTC+02:00,Viewed a screen device in bed?,true,
2026-05-29 01:21:41,2026-05-30 00:16:34,UTC+02:00,Experienced stress?,true,
2026-05-29 01:21:41,2026-05-30 00:16:34,UTC+02:00,Took creatine?,false,
2026-05-21 00:42:59,2026-05-22 01:45:17,UTC+02:00,Experienced stress?,true,
2026-05-21 00:42:59,2026-05-22 01:45:17,UTC+02:00,Spent time stretching?,true,
2026-05-21 00:42:59,2026-05-22 01:45:17,UTC+02:00,Viewed a screen device in bed?,true,
2026-05-21 00:42:59,2026-05-22 01:45:17,UTC+02:00,Took creatine?,false,
2026-05-21 00:42:59,2026-05-22 01:45:17,UTC+02:00,Did compression therapy?,false,
2026-05-20 02:06:47,2026-05-21 00:42:59,UTC+02:00,Took creatine?,false,
2026-05-20 02:06:47,2026-05-21 00:42:59,UTC+02:00,Did compression therapy?,false,
2026-05-20 02:06:47,2026-05-21 00:42:59,UTC+02:00,Spent time stretching?,true,
2026-05-20 02:06:47,2026-05-21 00:42:59,UTC+02:00,Experienced stress?,true,
2026-05-20 02:06:47,2026-05-21 00:42:59,UTC+02:00,Viewed a screen device in bed?,true,
2026-05-19 00:06:11,2026-05-20 02:06:47,UTC+02:00,Did compression therapy?,false,
2026-05-19 00:06:11,2026-05-20 02:06:47,UTC+02:00,Spent time stretching?,true,
2026-05-19 00:06:11,2026-05-20 02:06:47,UTC+02:00,Experienced stress?,false,
2026-05-19 00:06:11,2026-05-20 02:06:47,UTC+02:00,Viewed a screen device in bed?,true,
2026-05-19 00:06:11,2026-05-20 02:06:47,UTC+02:00,Took creatine?,false,
2026-05-08 02:17:21,2026-05-09 01:56:57,UTC+02:00,Took creatine?,false,
2026-05-08 02:17:21,2026-05-09 01:56:57,UTC+02:00,Experienced stress?,true,
2026-05-08 02:17:21,2026-05-09 01:56:57,UTC+02:00,Viewed a screen device in bed?,true,
2026-05-08 02:17:21,2026-05-09 01:56:57,UTC+02:00,Spent time stretching?,true,
2026-05-08 02:17:21,2026-05-09 01:56:57,UTC+02:00,Did compression therapy?,false,
2026-05-04 01:32:14,2026-05-05 00:21:31,UTC+02:00,Did compression therapy?,false,
2026-05-04 01:32:14,2026-05-05 00:21:31,UTC+02:00,Spent time stretching?,false,
2026-04-22 01:24:27,2026-04-22 23:09:32,UTC+02:00,Spent time stretching?,false,
2026-04-22 01:24:27,2026-04-22 23:09:32,UTC+02:00,Did compression therapy?,false,
2026-04-14 23:28:00,2026-04-15 23:37:17,UTC+02:00,Spent time stretching?,true,
2026-04-14 23:28:00,2026-04-15 23:37:17,UTC+02:00,Did compression therapy?,false,
2026-04-13 23:36:16,2026-04-14 23:28:00,UTC+02:00,Spent time stretching?,true,
2026-04-13 23:36:16,2026-04-14 23:28:00,UTC+02:00,Did compression therapy?,false,
2026-04-13 00:19:26,2026-04-13 23:36:16,UTC+02:00,Spent time stretching?,true,
