date,soort,auteur,media,likes,comments,shares,raw,score,reacties,url,text
2026-07-21,post,Dante Torbed,image,8,0,0,8,2.6,like:8,https://www.linkedin.com/posts/dante-torbed_the-summer-break-has-started-in-the-netherlands-activity-7485259669259751424-eWF9,"The summer break has started in the Netherlands, England and Ireland, the markets we work in most. You would expect it to go quiet. It does not really. The work just changes shape, and you finally get time for the questions that never fit during term. One of those for us was simple: who is actually "
2026-05-26,post,Dante Torbed,text,2,0,0,2,0.6,like:2,https://www.linkedin.com/posts/dante-torbed_can-ai-mark-essays-fairly-i-wrote-a-article-activity-7465038591170289664-frVk,"Can AI mark essays fairly?   I wrote a article that takes those questions seriously, including the criticism.  What it covers: what the research says about accuracy and bias, what the EU AI Act actually requires, how human markers compare, and what our own university pilots show.  The honest answer "
2026-05-07,repost,Jeroen van Gessel,text,19,2,3,31,10.0,"like:16, empathy:2, appreciation:1",https://www.linkedin.com/posts/jeroen-van-gessel_highereducation-assessmentandfeedback-edtech-ugcPost-7451933759576342528-lZ5r,"Bath Spa University and Eduface shared webinar about assessment with AI.   Prof Helen King, Director of learning innovation, development & skills and Eduface organized a webinar together for professors, learning technologists and educators across the UK for a knowledge-sharing session built around t"
2026-04-16,post,Dante Torbed,text,17,0,1,19,6.1,"like:15, praise:1, empathy:1",https://www.linkedin.com/posts/dante-torbed_het-voelt-goed-om-ergens-echt-tijd-en-energie-activity-7450576195722833922-nqln,"Het voelt goed om ergens echt tijd en energie in te stoppen en het dan niet alleen te halen, maar zelfs te overtreffen.  Vandaag was zo’n moment. Tijdens onze webinar samen met Bath Spa University en Jisc, de UK equivalenten van SURF, kwam alles samen.  Wat vooral blijft hangen is het werk achter de"
2026-04-13,post,Dante Torbed,image,22,1,3,31,10.0,"like:21, empathy:1",https://www.linkedin.com/posts/dante-torbed_highereducation-aiassessment-eduface-activity-7449385416174002176-gXhx,"How Bath Spa University Is Exploring AI-Assisted Assessment & Feedback.   On April 16th we will host a webinar, where Prof Helen King will walk through how Bath Spa is exploring AI in assessment.   Hannah Lawrence from Jisc will speak about what the partnership with Eduface means in practice for the"
2026-03-19,post,Dante Torbed,image,13,0,0,13,4.2,like:13,https://www.linkedin.com/posts/dante-torbed_digifest-aiineducation-ai-activity-7440312228160925696-h1vO,"Great to be at Digifest in Birmingham.  Really enjoyed meeting so many people who are just as passionate about education as I am.  One question came up a lot: Does this also work for further education assignments? Yes, when setting up a course, you can choose the type of assignment you’re working wi"
2026-03-10,post,Dante Torbed,image,28,0,1,30,9.7,"like:23, empathy:2, praise:2, appreciation:1",https://www.linkedin.com/posts/dante-torbed_aiineducation-ai-digifest-activity-7437085192567132160-It4f,Day one at Digifest in Birmingham.  Proud that Eduface was selected by Jisc to exhibit this year.  We’re showcasing our complete AI assessment platform over the next two days. #AIineducation #AI #Digifest #Jisc
2025-12-16,repost,Briskr,image,21,0,2,25,8.1,"like:19, praise:2",https://www.linkedin.com/posts/briskr_ai-innovation-startup-activity-7406622387032563714-RXIL,"Lecturers want to give meaningful feedback. Students want to learn. But time is the real bottleneck in higher education. That’s exactly where Eduface makes the difference!   For CEO and co-founder Jeroen van Gessel, the idea emerged during his studies in Commercial Economics at Leiden University of "
2025-12-10,post,Dante Torbed,text,2,0,0,2,0.6,like:2,https://www.linkedin.com/posts/dante-torbed_fullstack-softwareprogrammeur-softwaredevelopment-activity-7404475554323931137-xvAy,"Wie wordt onze nieuwe Sr. Full Stack Software Engineer? Ik kijk ernaar uit om dagelijks met je samen te werken.  Gideon Hummel, Faysal el Bouaiadi, Raoef Khadjé, Hidde van Erp, Sander Kuin."
2025-11-24,post,Dante Torbed,text,6,2,0,12,3.9,like:6,https://www.linkedin.com/posts/dante-torbed_with-500-users-across-all-universities-activity-7398631666149400576-8wcR,"With 500+ users across all universities, almost all universities of applied sciences in the Netherlands, and some universities in the UK, there’s still one thing we really suck at: press attention. In 2.5 years, we’ve only had one article written about us and that was by Universiteit Leiden because "
